region,2015 population,literacy rate,person per sq km,region_mpi,2015 gdp in 1000s of PHP,2015 gpd in usd per capita,percent urban 2000 (est),consumption (2016 est 2000 php)
NATIONAL CAPITAL REGION,12877253,0.998211077,20785,National Capital Region,5043596897,8605.88,100,102500
CORDILLERA ADMINISTRATIVE REGION,1722006,0.977714927,87,Cordillera Admin Region,234583094,2993.23,35,49000
REGION I - ILOCOS,5026128,0.992378239,388,Ilocos Region,409097791,1788.43,38,50500
REGION II - CAGAYAN VALLEY,3451410,0.986620464,116,Cagayan Valley,236832451,1507.73,22,43750
REGION III - CENTRAL LUZON,11218177,0.994109045,512,Central Luzon,1187307089,2325.51,60.5,62500
REGION IV-A - CALABARZON,14414774,0.995447372,870,Calabarzon,2059547574,3139.37,58.2,63750
MIMAROPA REGION,2963360,0.973332497,100,Mimaropa,204848841,1518.89,,41500
REGION V - BICOL,5796989,0.989816741,320,Bicol Region,282759855,1071.75,28,40000
REGION VI - WESTERN VISAYAS,4477247,0.98523798,351,Western Visayas,549753304,2697.96,30,44685
REGION VII - CENTRAL VISAYAS,6041903,0.987556426,578,Central Visayas,867162727,3153.59,47,48800
NEGROS ISLAND REGION,4414131,0.981357247,329,,,,,
REGION VIII - EASTERN VISAYAS,4440150,0.971956759,191,Eastern Visayas,271914849,1345.59,19.5,42700
REGION IX - ZAMBOANGA PENINSULA,3629783,0.965959851,215,Zamboanga Peninsula,277208133,1678.04, ,35000
REGION X - NORTHERN MINDANAO,4689302,0.978935293,229,Northern Mindanao,517648536,2425.52,,40000
REGION XI - DAVAO,4893318,0.979124625,239,Davao Peninsula,565205235,2537.94,,42500
REGION XII - SOCCSKSARGEN,4545276,0.954447636,199,Soccsksargen,355960468,1720.76,32,38125
REGION XIII - CARAGA,2596709,0.982224316,123,CARAGA,159038290,1345.73,26,31875
AUTONOMOUS REGION IN MUSLIM MINDANAO,3781387,0.886534675,103,Armm,99576138,578.6,21.2,20315
